EP, 97, 2017091318, 01, CARQ, -24, 143N, 1072W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 97, 2017091318, 01, CARQ, -18, 146N, 1084W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 97, 2017091318, 01, CARQ, -12, 147N, 1088W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 283,   4,     INVEST,  , 
EP, 97, 2017091318, 01, CARQ,  -6, 148N, 1093W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 97, 2017091318, 01, CARQ,   0, 150N, 1100W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   E,   0,   X, 285,   7,     INVEST, S, 
EP, 97, 2017091318, 01, CARQ,   0, 150N, 1100W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   E,   0,   X, 285,   7,     INVEST, S, 
EP, 97, 2017091318, 01, CARQ,   0, 150N, 1100W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   E,   0,   X, 285,   7,     INVEST, S, 
EP, 97, 2017091318, 03,  NAM,   0, 162N, 1080W,  31, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03,  NAM,   6, 166N, 1091W,  33, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03,  NAM,  12, 174N, 1095W,  44, 1003, XX,  34, NEQ,   69,   59,    0,    0, 
EP, 97, 2017091318, 03,  NAM,  18, 177N, 1099W,  40, 1000, XX,  34, NEQ,   53,   52,    0,    0, 
EP, 97, 2017091318, 03,  NAM,  24, 180N, 1100W,  37, 1002, XX,  34, NEQ,    0,   48,   50,    0, 
EP, 97, 2017091318, 03,  NAM,  30, 184N, 1101W,  42,  998, XX,  34, NEQ,   54,   61,   70,   58, 
EP, 97, 2017091318, 03,  NAM,  36, 186N, 1102W,  46,  998, XX,  34, NEQ,   58,   65,   68,   54, 
EP, 97, 2017091318, 03,  NAM,  42, 187N, 1102W,  46,  995, XX,  34, NEQ,   60,   75,   74,   64, 
EP, 97, 2017091318, 03,  NAM,  48, 188N, 1103W,  53,  996, XX,  34, NEQ,   61,   82,   77,   70, 
EP, 97, 2017091318, 03,  NAM,  48, 188N, 1103W,  53,  996, XX,  50, NEQ,    0,   32,    0,    0, 
EP, 97, 2017091318, 03,  NAM,  54, 189N, 1101W,  51,  993, XX,  34, NEQ,   65,   69,   78,   62, 
EP, 97, 2017091318, 03,  NAM,  54, 189N, 1101W,  51,  993, XX,  50, NEQ,    0,   30,    0,    0, 
EP, 97, 2017091318, 03,  NAM,  60, 191N, 1101W,  51,  994, XX,  34, NEQ,   73,   75,   75,   59, 
EP, 97, 2017091318, 03,  NAM,  60, 191N, 1101W,  51,  994, XX,  50, NEQ,    0,   35,    0,    0, 
EP, 97, 2017091318, 03,  NAM,  66, 192N, 1103W,  48,  992, XX,  34, NEQ,   67,   81,   76,   74, 
EP, 97, 2017091318, 03,  NAM,  72, 194N, 1104W,  49,  994, XX,  34, NEQ,   67,   70,   78,   74, 
EP, 97, 2017091318, 03,  NAM,  78, 197N, 1104W,  52,  992, XX,  34, NEQ,   69,   75,   80,   70, 
EP, 97, 2017091318, 03,  NAM,  78, 197N, 1104W,  52,  992, XX,  50, NEQ,    0,    0,   36,    0, 
EP, 97, 2017091318, 03,  NAM,  84, 200N, 1106W,  50,  994, XX,  34, NEQ,   68,   73,   71,   67, 
EP, 97, 2017091318, 03, AC00,   0, 157N, 1088W,  29, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00,   6, 164N, 1092W,  32, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00,  12, 170N, 1097W,  35, 1003, XX,  34, NEQ,    0,   69,    0,    0, 
EP, 97, 2017091318, 03, AC00,  18, 174N, 1101W,  33, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00,  24, 177N, 1104W,  33, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00,  30, 178N, 1105W,  32,  998, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00,  36, 179N, 1103W,  36, 1000, XX,  34, NEQ,    0,   73,   57,    0, 
EP, 97, 2017091318, 03, AC00,  42, 181N, 1098W,  40,  996, XX,  34, NEQ,    0,   88,   85,   48, 
EP, 97, 2017091318, 03, AC00,  48, 186N, 1093W,  42,  997, XX,  34, NEQ,   77,   99,   97,   74, 
EP, 97, 2017091318, 03, AC00,  54, 192N, 1091W,  41,  993, XX,  34, NEQ,   92,   98,   92,    0, 
EP, 97, 2017091318, 03, AC00,  60, 195N, 1092W,  38,  995, XX,  34, NEQ,   97,  100,   77,    0, 
EP, 97, 2017091318, 03, AC00,  66, 200N, 1092W,  43,  990, XX,  34, NEQ,  131,  103,   95,   67, 
EP, 97, 2017091318, 03, AC00,  72, 207N, 1093W,  46,  991, XX,  34, NEQ,  131,  112,   88,   92, 
EP, 97, 2017091318, 03, AC00,  78, 215N, 1095W,  48,  984, XX,  34, NEQ,  116,  115,   89,   74, 
EP, 97, 2017091318, 03, AC00,  84, 222N, 1096W,  49,  986, XX,  34, NEQ,  125,  117,   80,   62, 
EP, 97, 2017091318, 03, AC00,  90, 233N, 1098W,  52,  984, XX,  34, NEQ,  133,  127,   87,   87, 
EP, 97, 2017091318, 03, AC00,  90, 233N, 1098W,  52,  984, XX,  50, NEQ,   69,   46,    0,    0, 
EP, 97, 2017091318, 03, AC00,  96, 243N, 1100W,  56,  981, XX,  34, NEQ,  118,  139,   87,   77, 
EP, 97, 2017091318, 03, AC00,  96, 243N, 1100W,  56,  981, XX,  50, NEQ,   69,   61,    0,    0, 
EP, 97, 2017091318, 03, AC00, 102, 254N, 1098W,  57,  981, XX,  34, NEQ,   77,  112,   65,   66, 
EP, 97, 2017091318, 03, AC00, 102, 254N, 1098W,  57,  981, XX,  50, NEQ,   52,   56,   53,   38, 
EP, 97, 2017091318, 03, AC00, 108, 265N, 1093W,  39,  993, XX,  34, NEQ,   45,   63,   62,   40, 
EP, 97, 2017091318, 03, AC00, 114, 287N, 1082W,  17, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 120, 305N, 1064W,  26, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 126, 319N, 1038W,  23, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 132, 348N, 1019W,  26, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 138, 370N, 1003W,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 144, 393N,  985W,  30,  996, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 150, 415N,  962W,  30,  996, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 156, 437N,  943W,  35,  993, XX,  34, NEQ,    0,   79,    0,    0, 
EP, 97, 2017091318, 03, AC00, 162, 458N,  926W,  29,  993, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 168, 479N,  917W,  40,  993, XX,  34, NEQ,  191,  214,    0,    0, 
EP, 97, 2017091318, 03, AC00, 174, 498N,  915W,  31,  996, XX,  34, NEQ,    0,  225,    0,    0, 
EP, 97, 2017091318, 03, AC00, 180, 520N,  916W,  14,  996, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AC00, 186, 545N,  929W,  14,  990, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 97, 2017091318, 03, AEMN,   0, 158N, 1090W,  33, 1006, XX,  34, NEQ,    0,    0,    0,    0,   38,    4,   7,   0,   0, 
EP, 97, 2017091318, 03, AEMN,   6, 163N, 1093W,  35, 1001, XX,  34, NEQ,    0,    0,    0,    0,   39,    5,   7,   0,   0, 
EP, 97, 2017091318, 03, AEMN,  12, 169N, 1097W,  36, 1002, XX,  34, NEQ,    0,    0,    0,    0,   53,    5,   7,   0,   0, 
