EP, 99, 2017092618, 01, CARQ, -24, 133N,  922W,  15,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 99, 2017092618, 01, CARQ, -18, 137N,  928W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 99, 2017092618, 01, CARQ, -12, 140N,  934W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 297,   7,     INVEST,  , 
EP, 99, 2017092618, 01, CARQ,  -6, 143N,  940W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 99, 2017092618, 01, CARQ,   0, 145N,  945W,  25, 1006, LO,  34, NEQ,    0,    0,    0,    0, 1009,  150,  60,   0,   0,   E,   0,   X, 295,   5,     INVEST, S, 
EP, 99, 2017092618, 01, CARQ,   0, 145N,  945W,  25, 1006, LO,  50, NEQ,    0,    0,    0,    0, 1009,  150,  60,   0,   0,   E,   0,   X, 295,   5,     INVEST, S, 
EP, 99, 2017092618, 01, CARQ,   0, 145N,  945W,  25, 1006, LO,  64, NEQ,    0,    0,    0,    0, 1009,  150,  60,   0,   0,   E,   0,   X, 295,   5,     INVEST, S, 
EP, 99, 2017092618, 03,  NAM,   0, 152N,  939W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AC00,   0, 157N,  936W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AEMN,   0, 153N,  940W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0,   35,    1,   4,   0,   0, 
EP, 99, 2017092618, 03, AEMN,   6, 158N,  941W,  21, 1005, XX,  34, NEQ,    0,    0,    0,    0,   49,    1,   4,   0,   0, 
EP, 99, 2017092618, 03, AEMN,  12, 166N,  946W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0,   58,    1,   2,   0,   0, 
EP, 99, 2017092618, 03, AEMN,  18, 176N,  950W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0,   42,    1,   3,   0,   0, 
EP, 99, 2017092618, 03, AP01,   0, 156N,  939W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP01,   6, 156N,  941W,  21, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP01,  12, 169N,  945W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP01,  18, 177N,  942W,  17, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP01,  24, 181N,  942W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP01,  30, 184N,  940W,  16, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP01,  36, 189N,  943W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP01,  42, 189N,  949W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP01,  48, 188N,  951W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP01,  54, 189N,  943W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP01,  60, 188N,  944W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP01,  66, 180N,  949W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP02,   0, 151N,  931W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP03,   0, 156N,  936W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP04,   0, 145N,  945W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP04,   6, 139N,  951W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP04,  12, 140N,  950W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP05,   0, 157N,  936W,  28, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP06,   0, 159N,  939W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP07,   0, 154N,  935W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP07,   6, 153N,  936W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP08,   0, 153N,  939W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP09,   0, 156N,  941W,  31, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP09,   6, 161N,  942W,  21, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP09,  12, 168N,  950W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP09,  18, 171N,  957W,  12, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP10,   0, 158N,  929W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP10,   6, 170N,  932W,  16, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP10,  12, 177N,  946W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP10,  18, 185N,  950W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP10,  24, 188N,  952W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP10,  30, 193N,  950W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP10,  36, 196N,  953W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP10,  42, 202N,  958W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP11,   0, 151N,  950W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP11,   6, 167N,  943W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP11,  12, 173N,  946W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP11,  18, 180N,  950W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP11,  24, 180N,  956W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP11,  30, 178N,  965W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP12,   0, 145N,  939W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP12,   6, 153N,  938W,  32, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP12,  12, 166N,  942W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP12,  18, 176N,  946W,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP12,  24, 183N,  954W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP12,  30, 189N,  953W,  19, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP12,  36, 191N,  954W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP12,  42, 197N,  954W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP12,  48, 195N,  954W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP13,   0, 158N,  937W,  31, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP15,   0, 155N,  939W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP15,   6, 157N,  943W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP16,   0, 155N,  940W,  35, 1005, XX,  34, NEQ,    0,   42,    0,    0, 
EP, 99, 2017092618, 03, AP16,   6, 167N,  944W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP16,  12, 175N,  948W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP16,  18, 183N,  953W,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP16,  24, 182N,  962W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP17,   0, 156N,  938W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP17,   6, 167N,  942W,  22, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP17,  12, 173N,  945W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP17,  18, 178N,  950W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP17,  24, 181N,  954W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP17,  30, 177N,  958W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP17,  36, 178N,  964W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP18,   0, 153N,  946W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP19,   0, 145N,  945W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP19,   6, 153N,  941W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP19,  12, 152N,  946W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP19,  18, 161N,  952W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP19,  24, 163N,  952W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP19,  30, 164N,  954W,  14, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP19,  36, 169N,  956W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AP20,   0, 150N,  948W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, AVNO,   0, 157N,  936W,  29, 1007, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99,  26,   0,   0, 
EP, 99, 2017092618, 03, CLP5,  12, 150N,  954W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  24, 156N,  963W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  36, 163N,  971W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  48, 170N,  980W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  60, 178N,  988W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  72, 183N,  996W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  84, 191N, 1005W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5,  96, 196N, 1013W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5, 108, 201N, 1023W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CLP5, 120, 205N, 1031W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, CTCX,   0, 151N,  946W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0,    0,    0,  67,   0,   0, 
EP, 99, 2017092618, 03, DSHP,   0, 145N,  945W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  12, 152N,  951W,  29,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  24, 164N,  957W,  28,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  36, 173N,  967W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  48, 176N,  981W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  60, 177N,  997W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  72, 181N, 1016W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  84, 188N, 1035W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP,  96, 196N, 1054W,  30,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, DSHP, 108, 204N, 1070W,  29,    0, TD,   0,    ,    0,    0,    0,    0, 
