AL, 94, 2018101418, 01, CARQ, -24, 139N,  757W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 94, 2018101418, 01, CARQ, -18, 140N,  766W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 94, 2018101418, 01, CARQ, -12, 142N,  775W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 282,   9,     INVEST,  , 
AL, 94, 2018101418, 01, CARQ,  -6, 144N,  785W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 94, 2018101418, 01, CARQ,   0, 146N,  795W,  20, 1009, LO,  34, NEQ,    0,    0,    0,    0, 1011,  200, 100,   0,   0,   L,   0,   X, 280,  10,     INVEST, M, 
AL, 94, 2018101418, 01, CARQ,   0, 146N,  795W,  20, 1009, LO,  50, NEQ,    0,    0,    0,    0, 1011,  200, 100,   0,   0,   L,   0,   X, 280,  10,     INVEST, M, 
AL, 94, 2018101418, 01, CARQ,   0, 146N,  795W,  20, 1009, LO,  64, NEQ,    0,    0,    0,    0, 1011,  200, 100,   0,   0,   L,   0,   X, 280,  10,     INVEST, M, 
AL, 94, 2018101418, 03,  NAM,   0, 147N,  792W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AC00,   0, 141N,  810W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AC00,   6, 140N,  813W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AC00,  12, 141N,  818W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AC00,  18, 141N,  829W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AC00,  24, 137N,  838W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AC00,  30, 139N,  847W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AC00,  36, 139N,  854W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AEMN,   0, 143N,  807W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AEMN,   6, 140N,  813W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AEMN,  12, 140N,  819W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AEMN,  18, 140N,  828W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, AEMN,  24, 139N,  837W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
