CP, 98, 2018110300, 01, CARQ, -24,  76N, 1583W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 98, 2018110300, 01, CARQ, -18,  76N, 1589W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 98, 2018110300, 01, CARQ, -12,  76N, 1592W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 270,   3,     INVEST,  , 
CP, 98, 2018110300, 01, CARQ,  -6,  76N, 1595W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 98, 2018110300, 01, CARQ,   0,  76N, 1598W,  20, 1007, LO,  34, NEQ,    0,    0,    0,    0, 1009,  150,  90,   0,   0,   C,   0,   X, 270,   3,     INVEST, S, 
CP, 98, 2018110300, 01, CARQ,   0,  76N, 1598W,  20, 1007, LO,  50, NEQ,    0,    0,    0,    0, 1009,  150,  90,   0,   0,   C,   0,   X, 270,   3,     INVEST, S, 
CP, 98, 2018110300, 01, CARQ,   0,  76N, 1598W,  20, 1007, LO,  64, NEQ,    0,    0,    0,    0, 1009,  150,  90,   0,   0,   C,   0,   X, 270,   3,     INVEST, S, 
CP, 98, 2018110300, 03,  CMC,   0,  85N, 1607W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,   6,  84N, 1617W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  12,  85N, 1632W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  18,  86N, 1650W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  24,  84N, 1664W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  30,  82N, 1679W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  36,  81N, 1697W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  42,  81N, 1717W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  48,  85N, 1736W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  54,  87N, 1754W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  60,  90N, 1772W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  66,  93N, 1791W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  72,  95N, 1789E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  78,  97N, 1771E,  31, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  84,  97N, 1755E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  90,  97N, 1738E,  29, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC,  96,  97N, 1722E,  32, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC, 102,  98N, 1707E,  35, 1000, XX,  34, NEQ,   69,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC, 108,  98N, 1693E,  38,  999, XX,  34, NEQ,   78,    0,    0,   75, 
CP, 98, 2018110300, 03,  CMC, 114,  97N, 1680E,  39,  996, XX,  34, NEQ,   65,    0,    0,   64, 
CP, 98, 2018110300, 03,  CMC, 120,  96N, 1669E,  43,  995, XX,  34, NEQ,   74,   49,    0,   73, 
CP, 98, 2018110300, 03,  CMC, 126,  95N, 1662E,  47,  992, XX,  34, NEQ,   71,   52,   40,   62, 
CP, 98, 2018110300, 03,  CMC, 132,  95N, 1655E,  50,  992, XX,  34, NEQ,   89,   52,   27,   62, 
CP, 98, 2018110300, 03,  CMC, 132,  95N, 1655E,  50,  992, XX,  50, NEQ,   33,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC, 138,  96N, 1647E,  50,  990, XX,  34, NEQ,   93,   69,   40,   84, 
CP, 98, 2018110300, 03,  CMC, 144,  97N, 1638E,  52,  991, XX,  34, NEQ,  108,   80,   34,   99, 
CP, 98, 2018110300, 03,  CMC, 144,  97N, 1638E,  52,  991, XX,  50, NEQ,   47,    0,    0,    0, 
CP, 98, 2018110300, 03,  CMC, 150,  95N, 1628E,  51,  988, XX,  34, NEQ,  124,   97,   49,  120, 
CP, 98, 2018110300, 03,  CMC, 150,  95N, 1628E,  51,  988, XX,  50, NEQ,   43,    0,    0,   48, 
CP, 98, 2018110300, 03,  CMC, 156,  92N, 1618E,  54,  988, XX,  34, NEQ,  128,  123,   62,   97, 
CP, 98, 2018110300, 03,  CMC, 156,  92N, 1618E,  54,  988, XX,  50, NEQ,   45,    0,    0,   53, 
CP, 98, 2018110300, 03,  CMC, 162,  92N, 1609E,  55,  984, XX,  34, NEQ,  137,  119,   66,  101, 
CP, 98, 2018110300, 03,  CMC, 162,  92N, 1609E,  55,  984, XX,  50, NEQ,   65,    0,    0,   48, 
CP, 98, 2018110300, 03,  CMC, 168,  89N, 1599E,  58,  985, XX,  34, NEQ,  144,   84,   65,  127, 
CP, 98, 2018110300, 03,  CMC, 168,  89N, 1599E,  58,  985, XX,  50, NEQ,   62,    0,    0,   59, 
CP, 98, 2018110300, 03,  CMC, 174,  88N, 1590E,  56,  982, XX,  34, NEQ,  155,   91,   78,  135, 
CP, 98, 2018110300, 03,  CMC, 174,  88N, 1590E,  56,  982, XX,  50, NEQ,   64,    0,    0,   66, 
CP, 98, 2018110300, 03,  CMC, 180,  88N, 1580E,  57,  983, XX,  34, NEQ,  166,  108,   78,  137, 
CP, 98, 2018110300, 03,  CMC, 180,  88N, 1580E,  57,  983, XX,  50, NEQ,   75,    0,    0,   52, 
