AL, 92, 2020072418, 01, CARQ, -24, 111N,  171W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 92, 2020072418, 01, CARQ, -18, 111N,  182W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 92, 2020072418, 01, CARQ, -12, 111N,  193W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 270,  11,     INVEST,  , 
AL, 92, 2020072418, 01, CARQ,  -6, 111N,  204W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 92, 2020072418, 01, CARQ,   0, 111N,  215W,  20, 1010, DB,  34, NEQ,    0,    0,    0,    0, 1012,  120,  50,   0,   0,   L,   0,   X, 270,  11,     INVEST, M, 
AL, 92, 2020072418, 01, CARQ,   0, 111N,  215W,  20, 1010, DB,  50, NEQ,    0,    0,    0,    0, 1012,  120,  50,   0,   0,   L,   0,   X, 270,  11,     INVEST, M, 
AL, 92, 2020072418, 01, CARQ,   0, 111N,  215W,  20, 1010, DB,  64, NEQ,    0,    0,    0,    0, 1012,  120,  50,   0,   0,   L,   0,   X, 270,  11,     INVEST, M, 
AL, 92, 2020072418, 03, AC00,   0, 122N,  221W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AC00,   6, 110N,  246W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AC00,  12, 104N,  245W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AC00,  18, 107N,  254W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AC00,  24, 110N,  260W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AC00,  30, 115N,  271W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AC00,  36, 111N,  290W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AEMN,   0, 118N,  221W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AEMN,   6, 111N,  244W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AEMN,  12, 108N,  256W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AEMN,  18, 111N,  260W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AEMN,  24, 116N,  265W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AEMN,  30, 121N,  274W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AEMN,  36, 120N,  292W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AEMN,  42, 116N,  308W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AEMN,  48, 116N,  315W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AEMN,  54, 115N,  331W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AEMN,  60, 114N,  349W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP01,   0, 121N,  221W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,   0, 115N,  228W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,   6, 115N,  247W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,  12, 111N,  249W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,  18, 109N,  248W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,  24, 111N,  254W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,  30, 112N,  273W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,  36, 113N,  274W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,  42, 110N,  281W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,  48, 113N,  286W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,  54, 114N,  300W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,  60, 115N,  342W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,  66, 115N,  361W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,  72, 114N,  373W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,  78, 112N,  385W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 92, 2020072418, 03, AP02,  84, 112N,  396W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
