CP, 90, 2020081512, 01, CARQ, -24, 113N, 1481W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 90, 2020081512, 01, CARQ, -18, 113N, 1497W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 90, 2020081512, 01, CARQ, -12, 113N, 1504W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 270,   7,     INVEST,  , 
CP, 90, 2020081512, 01, CARQ,  -6, 113N, 1512W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 90, 2020081512, 01, CARQ,   0, 113N, 1520W,  25, 1006, LO,  34, NEQ,    0,    0,    0,    0, 1008,  125,  50,   0,   0,   C,   0,   X, 270,   8,     INVEST, M, 
CP, 90, 2020081512, 01, CARQ,   0, 113N, 1520W,  25, 1006, LO,  50, NEQ,    0,    0,    0,    0, 1008,  125,  50,   0,   0,   C,   0,   X, 270,   8,     INVEST, M, 
CP, 90, 2020081512, 01, CARQ,   0, 113N, 1520W,  25, 1006, LO,  64, NEQ,    0,    0,    0,    0, 1008,  125,  50,   0,   0,   C,   0,   X, 270,   8,     INVEST, M, 
CP, 90, 2020081512, 03,  CMC,   0, 121N, 1519W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC,   6, 122N, 1533W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC,  12, 123N, 1544W,  28, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC,  18, 122N, 1554W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC,  24, 122N, 1564W,  27, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC,  30, 122N, 1573W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC,  36, 124N, 1579W,  27, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC,  42, 123N, 1589W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC,  48, 121N, 1600W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC,  54, 122N, 1611W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC,  60, 123N, 1621W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC,  66, 122N, 1634W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 90, 2020081512, 03,  CMC,  72, 121N, 1648W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
